LOTE;VALOR;PESO;DESCRICAO
00017-5;1.081,00 ;6,34;" UM ANEL, DE: OURO BRANCO; CONTÉM: diamantes; CONSTAM: falta, PESO LOTE: 6,34G (SEIS GRAMAS E TRINTA E QUATRO CENTIGRAMAS) R$ 1.081,00 
"
00064-7;4.928,00 ;31,63;" TRES ANÉIS, DOIS PENDENTES, DUAS PULSEIRAS, UMA COM PENDENTE, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), partida(s), PESO LOTE: 31,63G (TRINTA E UM GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 4.928,00 
"
00065-5;3.666,00 ;26,00;" TRES ANÉIS, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, PESO LOTE: 26,00G (VINTE E SEIS GRAMAS) R$ 3.666,00 
"
00088-4;1.990,00 ;13,62;" UMA ALIANÇA, UM ANEL, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes; CONSTAM: inscrições, PESO LOTE: 13,62G (TREZE GRAMAS E SESSENTA E DOIS CENTIGRAMAS) R$ 1.990,00 
"
00098-1;1.877,00 ;14,35;" TRES ALIANÇAS, UM ANEL, UM COLAR, DOIS PENDENTES, TRES BRINCOS, DE: OURO, OURO RODINADO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), incompleta(s), partida(s), PESO LOTE: 14,35G (QUATORZE GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 1.877,00 
"
00101-5;1.188,00 ;7,57;" DOIS BRINCOS, QUATRO COLARES, DOIS PENDENTES, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), incompleta(s), partida(s), PESO LOTE: 7,57G (SETE GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 1.188,00 
"
00118-0; 307,00 ;1,92;" UM ANEL, UM PENDENTE, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 1,92G (UM GRAMAS E NOVENTA E DOIS CENTIGRAMA) R$ 307,00 
"
00121-0; 615,00 ;3,82;" DOIS ANÉIS, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 3,82G (TRES GRAMAS E OITENTA E DOIS CENTIGRAMAS) R$ 615,00 
"
00142-2;2.351,00 ;14,86;" UM ANEL, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 14,86G (QUATORZE GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 2.351,00 
"
00143-0;2.135,00 ;15,12;" DUAS ALIANÇAS, UM ANEL, QUATRO PENDENTES, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: iniciais, PESO LOTE: 15,12G (QUINZE GRAMAS E DOZE CENTIGRAMAS) R$ 2.135,00 
"
00165-1;3.530,00 ;22,37;" DUAS PULSEIRAS, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS, PESO LOTE: 22,37G (VINTE E DOIS GRAMAS E TRINTA E SETE CENTIGRAMAS) R$ 3.530,00 
"
00198-8;2.575,00 ;0,12;" DOIS ANÉIS, DE: OURO BRANCO, OURO; CONTÉM: diamante, 01(0,12 CT, BRIL, MN SI); CONSTAM: amolgada(s), PESO LOTE: 8,86G (OITO GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 2.575,00 
"
00239-9; 865,00 ;5,70;" DOIS ANÉIS, DE: OURO, OURO RODINADO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 5,70G (CINCO GRAMAS E SETENTA CENTIGRAMAS) R$ 865,00 
"
00268-2; 843,00 ;5,57;" UMA ALIANÇA, UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 5,57G (CINCO GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 843,00 
"
