LOTE;VALOR;PESO;DESCRICAO
00006-0;1.109,00 ;10,20;" DUAS ALIANÇAS, TRES COLARES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 10,20G (DEZ GRAMAS E VINTE CENTIGRAMAS) R$ 1.109,00 
"
00008-6; 398,00 ;3,50;" DOIS COLARES, DOIS BRINCOS, UMA ALIANÇA, UM PENDENTE, DE: OURO; CONSTAM: incompleta(s), partida(s), iniciais, amolgada(s), PESO LOTE: 3,50G (TRES GRAMAS E CINQUENTA CENTIGRAMAS) R$ 398,00 
"
00009-4;1.176,00 ;8,85;" DOIS BRINCOS, UM ANEL, UM COLAR, DE: OURO, PESO LOTE: 8,85G (OITO GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 1.176,00 
"
00012-4;1.242,00 ;8,53;" CINCO ALIANÇAS, DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), incompleta(s), partida(s), inscrições, PESO LOTE: 8,53G (OITO GRAMAS E CINQUENTA E TRES CENTIGRAMAS) R$ 1.242,00 
"
00015-9; 735,00 ;5,04;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 5,04G (CINCO GRAMAS E QUATRO CENTIGRAMAS) R$ 735,00 
"
00029-9;1.100,00 ;7,53;" TRES ALIANÇAS, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 7,53G (SETE GRAMAS E CINQUENTA E TRES CENTIGRAMAS) R$ 1.100,00 
"
00035-3; 753,00 ;5,11;" UMA ALIANÇA, DOIS BRINCOS, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,11G (CINCO GRAMAS E ONZE CENTIGRAMAS) R$ 753,00 
"
00037-0; 822,00 ;5,25;" UMA PULSEIRA, DE: OURO, PESO LOTE: 5,25G (CINCO GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 822,00 
"
00045-0; 652,00 ;4,40;" UMA ALIANÇA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 4,40G (QUATRO GRAMAS E QUARENTA CENTIGRAMAS) R$ 652,00 
"
00047-7; 529,00 ;4,00;" DUAS ALIANÇASCOM 3 ELOS CADA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,00G (QUATRO GRAMAS) R$ 529,00 
"
00054-0; 417,00 ;2,85;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 2,85G (DOIS GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 417,00 
"
00055-8; 910,00 ;6,30;" QUATRO ALIANÇAS, DE: OURO; CONSTAM: amassada(s), amolgada(s), inscrições, PESO LOTE: 6,30G (SEIS GRAMAS E TRINTA CENTIGRAMAS) R$ 910,00 
"
00063-9; 601,00 ;3,70;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 3,70G (TRES GRAMAS E SETENTA CENTIGRAMAS) R$ 601,00 
"
00066-3; 680,00 ;4,97;" DOIS ANÉIS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,97G (QUATRO GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 680,00 
"
00077-9;2.313,00 ;13,85;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO, OURO BRANCO, PESO LOTE: 13,85G (TREZE GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 2.313,00 
"
00079-5; 868,00 ;5,30;" CINCO BRINCOS, UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 5,30G (CINCO GRAMAS E TRINTA CENTIGRAMAS) R$ 868,00 
"
00091-4; 490,00 ;3,39;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 3,39G (TRES GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 490,00 
"
00114-7;;16,80;" DUAS PULSEIRAS, DE: OURO; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 16,80G (DEZESSEIS GRAMAS E OITENTA CENTIGRAMAS) R$ 2.400,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 4 de 73 
"
00130-9;1.855,00 ;14,17;" UM COLAR, UM LINGOTE, DE: OURO; CONSTAM: partida(s), PESO LOTE: 14,17G (QUATORZE GRAMAS E DEZESSETE CENTIGRAMAS) R$ 1.855,00 
"
00138-4;2.463,00 ;18,50;" DOIS BRINCOS, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 18,50G (DEZOITO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 2.463,00 
"
00144-9;2.562,00 ;13,95;" UMA MOEDA4 DUCADOS, ÁUSTRIA, DE: OURO, 986, PESO LOTE: 13,95G (TREZE GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 2.562,00 
"
00152-0; 230,00 ;1,72;" UM COLAR, DE: OURO; CONSTAM: incompleta(s), partida(s), PESO LOTE: 1,72G (UM GRAMAS E SETENTA E DOIS CENTIGRAMA) R$ 230,00 
"
00159-7; 600,00 ;4,15;" DOIS BRINCOS, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 4,15G (QUATRO GRAMAS E QUINZE CENTIGRAMAS) R$ 600,00 
"
00160-0;3.427,00 ;23,67;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 23,67G (VINTE E TRES GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 3.427,00 
"
00161-9; 442,00 ;3,12;" UMA ALIANÇA, DOIS BRINCOS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 3,12G (TRES GRAMAS E DOZE CENTIGRAMAS) R$ 442,00 
"
00173-2;3.020,00 ;26,05;" UM RELÓGIO PULSEIRAESKA - CORDA MANUAL - NAO FUNCIONA, DE: OURO, PESO LOTE: 26,05G (VINTE E SEIS GRAMAS E CINCO CENTIGRAMAS) R$ 3.020,00 
"
00176-7; 810,00 ;6,18;" UMA ALIANÇA, DE: OURO, PESO LOTE: 6,18G (SEIS GRAMAS E DEZOITO CENTIGRAMAS) R$ 810,00 
"
00178-3; 222,00 ;1,55;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 1,55G (UM GRAMAS E CINQUENTA E CINCO CENTIGRAMA) R$ 222,00 
"
00179-1; 321,00 ;2,20;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 2,20G (DOIS GRAMAS E VINTE CENTIGRAMAS) R$ 321,00 
"
00186-4;1.139,00 ;8,40;" QUATRO BRINCOS, UMA ALIANÇA, DE: OURO BRANCO, OURO; CONSTAM: amassada(s), PESO LOTE: 8,40G (OITO GRAMAS E QUARENTA CENTIGRAMAS) R$ 1.139,00 
"
00205-4;2.240,00 ;17,40;" UM COLAR, UM PENDENTE, DE: OURO BRANCO, OURO; CONSTAM: amolgada(s), PESO LOTE: 17,40G (DEZESSETE GRAMAS E QUARENTA CENTIGRAMAS) R$ 2.240,00 
"
00227-5; 811,00 ;5,70;" UM ANEL, UMA ALIANÇA, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,70G (CINCO GRAMAS E SETENTA CENTIGRAMAS) R$ 811,00 
"
00229-1;2.780,00 ;19,50;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 19,50G (DEZENOVE GRAMAS E CINQUENTA CENTIGRAMAS) R$ 2.780,00 
"
00230-5;1.391,00 ;9,60;" DOIS ANÉIS, UM COLAR, DOIS PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,60G (NOVE GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.391,00 
"
00252-6; 538,00 ;3,80;" UM ANEL, DOIS BRINCOS, UM PENDENTE, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amassada(s), PESO LOTE: 3,80G (TRES GRAMAS E OITENTA CENTIGRAMAS) R$ 538,00 
"
00257-7;1.488,00 ;10,30;" UMA PULSEIRACOM 4 PENDENTES FIXOS, DE: OURO; CONSTAM: amassada(s), defeito(s), incompleta(s), partida(s), PESO LOTE: 10,30G (DEZ GRAMAS E TRINTA CENTIGRAMAS) R$ 1.488,00 
"
00258-5; 839,00 ;5,60;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), inscrições, defeito(s), PESO LOTE: 5,60G (CINCO GRAMAS E SESSENTA CENTIGRAMAS) R$ 839,00 
"
00260-7; 667,00 ;4,47;" DOIS BRINCOS(SEM TARRAXAS), DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,47G (QUATRO GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 667,00 
"
00279-8;1.102,00 ;8,30;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 8,30G (OITO GRAMAS E TRINTA CENTIGRAMAS) R$ 1.102,00 
"
00288-7;;4,50;" DOIS BRINCOS, UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,50G (QUATRO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 637,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 7 de 73 
"
00294-1;3.894,00 ;29,70;" UM COLAR, DUAS PULSEIRAS, DE: OURO; CONSTAM: amassada(s), defeito(s), PESO LOTE: 29,70G (VINTE E NOVE GRAMAS E SETENTA CENTIGRAMAS) R$ 3.894,00 
"
